Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 69.72      6.51     6.51 102769856     0.00     0.00  HashSet::insert(unsigned long long)
 12.42      7.67     1.16      100    11.60    11.60  HashSet::clear()
  5.57      8.19     0.52 710358498     0.00     0.00  std::remove_reference<unsigned char&>::type&& std::move<unsigned char&>(unsigned char&)
  5.41      8.70     0.51   240200     0.00     0.03  dfs(int)
  4.02      9.07     0.38 236786166     0.00     0.00  _ZSt4swapIhENSt9enable_ifIXsr6__and_ISt6__not_ISt15__is_tuple_likeIT_EESt21is_move_constructibleIS3_ESt18is_move_assignableIS3_EEE5valueEvE4typeERS3_SC_
  1.50      9.21     0.14      100     1.40     1.48  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_M_deallocate_nodes(std::__detail::_Hash_node<unsigned long long, false>*)
  0.27      9.24     0.03                             frame_dummy
  0.16      9.25     0.02                             main
  0.11      9.26     0.01  2182000     0.00     0.00  unsigned long long const& std::forward<unsigned long long const&>(std::remove_reference<unsigned long long const&>::type&)
  0.11      9.27     0.01   820300     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_addr()
  0.11      9.28     0.01   740800     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_addr() const
  0.11      9.29     0.01   740800     0.00     0.00  std::__detail::_Hash_node_value_base<unsigned long long>::_M_valptr() const
  0.11      9.30     0.01   480400     0.00     0.00  std::allocator<unsigned long long>::allocator<std::__detail::_Hash_node<unsigned long long, false> >(std::allocator<std::__detail::_Hash_node<unsigned long long, false> > const&)
  0.11      9.31     0.01   245100     0.00     0.00  H(int, unsigned char const*)
  0.11      9.32     0.01   245100     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_begin(unsigned long) const
  0.11      9.33     0.01   245100     0.00     0.00  std::unordered_set<unsigned long long, std::hash<unsigned long long>, std::equal_to<unsigned long long>, std::allocator<unsigned long long> >::count(unsigned long long const&) const
  0.11      9.34     0.01   240200     0.00     0.00  std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >&)
  0.00      9.34     0.00  1227100     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      9.34     0.00  1227100     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      9.34     0.00  1227100     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      9.34     0.00  1226100     0.00     0.00  std::hash<unsigned long long>::operator()(unsigned long long) const
  0.00      9.34     0.00  1226100     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      9.34     0.00  1226100     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned long long>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned long long>, true> const&)
  0.00      9.34     0.00  1079700     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      9.34     0.00  1079700     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true> const&)
  0.00      9.34     0.00  1076600     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>::_M_next() const
  0.00      9.34     0.00   981000     0.00     0.00  unsigned long long const& std::__detail::_Identity::operator()<unsigned long long const&>(unsigned long long const&) const
  0.00      9.34     0.00   962800     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_M_node_allocator()
  0.00      9.34     0.00   962800     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<unsigned long long, false> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<unsigned long long, false> >, true>&)
  0.00      9.34     0.00   820300     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_ptr()
  0.00      9.34     0.00   820300     0.00     0.00  std::__detail::_Hash_node_value_base<unsigned long long>::_M_valptr()
  0.00      9.34     0.00   740800     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_ptr() const
  0.00      9.34     0.00   740800     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<unsigned long long, false> const*, unsigned long) const
  0.00      9.34     0.00   740800     0.00     0.00  std::__detail::_Hash_node_value_base<unsigned long long>::_M_v() const
  0.00      9.34     0.00   486300     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long long const&, unsigned long) const
  0.00      9.34     0.00   486300     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long long const&, unsigned long, unsigned long) const
  0.00      9.34     0.00   485300     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned long long const&) const
  0.00      9.34     0.00   480400     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::new_allocator()
  0.00      9.34     0.00   480400     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::~new_allocator()
  0.00      9.34     0.00   480400     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>* std::__addressof<std::__detail::_Hash_node<unsigned long long, false> >(std::__detail::_Hash_node<unsigned long long, false>&)
  0.00      9.34     0.00   480400     0.00     0.00  std::__detail::_Node_iterator<unsigned long long, true, false>&& std::forward<std::__detail::_Node_iterator<unsigned long long, true, false> >(std::remove_reference<std::__detail::_Node_iterator<unsigned long long, true, false> >::type&)
  0.00      9.34     0.00   480400     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      9.34     0.00   456800     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node<unsigned long long, false>*) const
  0.00      9.34     0.00   339900     0.00     0.00  unsigned long long& std::__detail::_Identity::operator()<unsigned long long&>(unsigned long long&) const
  0.00      9.34     0.00   339900     0.00     0.00  std::__detail::_Hash_node_value_base<unsigned long long>::_M_v()
  0.00      9.34     0.00   339900     0.00     0.00  unsigned long long& std::forward<unsigned long long&>(std::remove_reference<unsigned long long&>::type&)
  0.00      9.34     0.00   338900     0.00     0.00  std::__detail::_Hashtable_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const
